,date,link,word_count,inner_html,headline,petrol,hsd,openai_headline_very_positive,openai_headline_positive,openai_headline_neutral,openai_headline_negative,openai_headline_very_negative,openai_text_very_positive,openai_text_positive,openai_text_neutral,openai_text_negative,openai_text_very_negative,gemini_headline_very_positive,gemini_headline_positive,gemini_headline_neutral,gemini_headline_negative,gemini_headline_very_negative,gemini_text_very_positive,gemini_text_positive,gemini_text_neutral,gemini_text_negative,gemini_text_very_negative,openai_headline_overall_sentiment,gemini_headline_overall_sentiment,gemini_text_overall_sentiment,openai_text_overall_sentiment
10,2024-07-16,https://epaper.brecorder.com/2024/07/16/1-page/999519-news.html,168.0,"Federal government on Monday made a massive increase in the price of petroleum products up to Rs 9.99 per litre for fortnight starting from July 16, 2024. The statement of Finance Division says that the petrol price has been raised by Rs 9.99 per litre, and high speed diesel (HSD) price by Rs 6.18 per litre owning to raise price of oil globally. Finance Division says, “The Oil and Gas Regulatory Authority (OGRA) has worked out the consumer prices, based on the price variations in the international market.” Following the announcement of new ex-depot price of petroleum products, the petrol price has gone up from Rs 265.61 per litre to 275.60 and HSD price has risen from Rs 277.45 to Rs 283.63 per litre. Finance Division said that there will be no change in the applicable petroleum levy (PL) and general sale tax (GST) under the new prices which will remain at the existing level, meaning that the PL remains the same in the latest fuel price review.","Petrol price hiked by Rs9.99, HSD’s by Rs6.18",275.6,283.63,0.0,0.05,0.15,0.5,0.3,0.0,0.03,0.2,0.5,0.27,0.0,0.0,0.65,0.3,0.05,0.0,0.0,0.4,0.5,0.1,-1.05,-0.4,-0.7,-1.01
11,2024-07-01,https://epaper.brecorder.com/2024/07/01/1-page/997444-news.html,227.0,"The federal government on Sunday announced a substantial raise in ex-depot rates of all petroleum products up to Rs 10.05 per litre with effect from July 1 to 15. According to a statement of Finance Division, the petrol price has gone up by Rs 7.45 per litre, high speed diesel (HSD) by Rs9.56 per litre, kerosene oil (SKO) by Rs 10.05 per litre and light speed diesel (LDO) by Rs 9.88 per litre for first half of July. Finance Division states, “There will be no change in the applicable taxes and duties which will remain at the existing level”. The division maintained that the oil and gas regulatory authority (OGRA) has worked out the consumer prices based on the prices variations in the international market. According to Oil Marketing Companies (OMCs) estimates, the premium on both petrol and HSD has been unchanged. This price hike comes amid a surge in international oil prices. Over the past two weeks, petrol and HSD prices have increased by about $ 4.4 and $ 5.5 per barrel respectively. The new ex-depot price of petrol has been increased from Rs 258.16 to Rs 265.61 per litre and HSD has been increased from Rs 267.89 to Rs 277.45 per litre. The Finance Bill 2024 allows the government to raise the PL to a maximum of Rs 70 per litre, potentially generating additional revenue.","Petrol price hiked by Rs7.45, diesel’s by Rs9.56",265.61,277.45,0.0,0.05,0.1,0.5,0.35,0.0,0.05,0.3,0.4,0.25,0.0,0.0,0.25,0.6,0.15,0.0,0.0,0.4,0.5,0.1,-1.15,-0.8999999999999999,-0.7,-0.85
12,2024-06-15,https://epaper.brecorder.com/2024/06/15/1-page/995819-news.html,174.0,"The government announced on Friday a significant reduction in petrol and high-speed diesel (HSD) prices for the upcoming fortnight, providing relief to consumers grappling with inflation. Effective from June 15, petrol prices will decrease by Rs10.20 per litre, bringing the new price to Rs258.16 per litre. HSD will see a reduction of Rs2.33 per litre, with the new rate set at Rs267.89 per litre, according to a statement issued by the Prime Minister’s Office. Kerosene oil will remain priced at Rs171.61 per litre, and light diesel oil (LDO) will stay at Rs157.32 per litre in the open market. The finance division has also issued an official notification in this regard. Petrol is primarily used for cars and motorcycles, while HSD powers heavy vehicles such as trucks and buses, as well as industrial machinery. It is noteworthy that on June 1, the government reduced the price of petrol by Rs4.74 per litre and diesel by Rs3.86 per litre. So far, a total relief of Rs35 per litre has been provided to the public for petrol.",Petrol price slashed by Rs10.20 per litre,258.16,267.89,0.1,0.8,0.05,0.03,0.02,0.1,0.75,0.1,0.03,0.02,0.55,0.4,0.05,0.0,0.0,0.55,0.3,0.15,0.0,0.0,0.93,1.5,1.4,0.8799999999999999
13,2024-06-01,https://epaper.brecorder.com/2024/06/01/1-page/994443-news.html,288.0,"Federal government announces up to Rs 4.74 per liter reduction in petroleum product prices, effective June 1, 2024. In a statement issued by the Finance Division, the price of petrol has been reduced by Rs 4.74 per liter and high-speed diesel (HSD) by Rs 3.86 per liter. The Oil and Gas Regulatory Authority (OGRA) recommended a substantial reduction in fuel prices for the fortnight starting June 1 to 15, 2024. The import premium on petrol has decreased by about 7 percent in the last two weeks, to $9.70 from $10.30 per barrel. The import premium on HSD remains stable at $6.50 per barrel. The new ex-depot price of petrol is Rs 268.36 per liter, down from Rs 273.10 per liter in the previous fortnight. Meanwhile, the price of HSD has also declined to Rs 270.22 per liter from Rs 274.08 per liter. The price of crude oil in the international market dropped by $3.30 per barrel and diesel by $2.15 per barrel in the last two weeks. This comes on top of the $8.7 and $4.3 per barrel reduction in petrol and HSD rates, respectively, implemented in the previous fortnight. Currently, there is no general sales tax (GST) on petroleum products, the government levies a Petroleum Levy (PL) of Rs 60 per liter on both products. An additional Rs 50 per liter is charged for high-octane blending components and 95RON petrol. The government has projected to collect Rs 936 billion in PL revenue, exceeding the budgeted amount of Rs 869 billion for the current fiscal year 2024-25. The government anticipates an improvement in the sale of petroleum products, which during the first ten months of the fiscal year dropped by 11% year-on-year, clocking in at 12.443 million tons.","Govt announces cut in petrol, diesel rates",268.36,270.22,0.1,0.75,0.1,0.03,0.02,0.1,0.6,0.25,0.04,0.01,0.03,0.7,0.25,0.01,0.01,0.15,0.5,0.35,0.0,0.0,0.8799999999999999,0.73,0.8,0.74
14,2024-05-01,https://epaper.brecorder.com/2024/05/01/1-page/991820-news.html,282.0,"The federal government announced a significant reduction in petroleum product prices, up to Rs 8.74 per litre, for the fortnight starting May 1, 2024. This decision comes in response to a decline in international oil prices and premium rates observed over the past two weeks. According to the Finance Division, the federal government has opted to decrease the price of petrol by Rs 5.45 per litre and high-speed diesel (HSD) by Rs 8.42 per litre in the petroleum price review for May 1-15, 2024. Additionally, the rate of kerosene oil has been slashed by Rs 8.74 per litre, and light diesel oil (LDO) by Rs 5.63 per litre. The premium rate on petrol has dropped to $9.60 per barrel from $13 per barrel, while HSD remains unchanged at $6.50 per barrel. The government is imposing a petroleum levy (PL) of Rs 60 per litre on petrol and HSD but has maintained the general sales tax (GST) at zero. The Oil and Gas Regulatory Authority (OGRA) submitted its recommendations to the Finance Division for petroleum product prices on April 30, 2024, for consideration. As a result, the new price of petrol is Rs 288.49 instead of Rs 293.94 per litre, and the new price of HSD will be Rs 281.96, down from Rs 290.38 per litre. The price of kerosene oil has also decreased from Rs 193.08 to Rs 184.34 per litre, and the LDO price is now fixed at Rs 168.71 from Rs 174.34 per litre. In the last fortnightly review of petroleum prices on April 15, the federal government raised the price of petrol by Rs 4.53 per litre, and the price of HSD was increased by Rs 8.14 per litre.","Petrol price slashed by Rs5.45, diesel’s by Rs8.42",273.1,274.08,0.05,0.65,0.2,0.05,0.05,0.1,0.6,0.2,0.07,0.03,0.15,0.8,0.05,0.0,0.0,0.05,0.7,0.25,0.0,0.0,0.6,1.1,0.7999999999999999,0.6699999999999999
15,2024-04-16,https://epaper.brecorder.com/2024/04/16/1-page/990515-news.html,446.0,"Federal government on Monday announced a massive raise in the price of high speed diesel (HSD) by Rs 8.14 per litre and petrol by Rs 4.53 per litre due to higher fuel prices internationally, in a fortnight review of petroleum products starting from April 16, 2024. Despite a decline in the import premium as claimed by Pakistan State Oil (PSO) on HSD and petrol as well as a slightly improvement in the exchange rate, the higher international Brent Oil price compelled the government to raise the fuel prices. The impact of the Middle East escalation is yet to pass on general masses. The prices of petrol and HSD had witnessed increase globally by $4 and $4.50 per barrel in the last fortnight started from April 1. The import premium on petrol dropped to $10.7 per barrel compared with $13.50 in previous review of petroleum products and the rupee strengthened by 41 paisa against a US dollar to Rs278.20. The HSD price, was up in the international market and its import premium paid by Pakistan State Oil remained unchanged at $6.50 per barrel. The petrol price went up by around $4 per barrel to $98 last week while HSD price went up by $4.50 per barrel to $102. The new ex-depot price of petrol is now fixed at Rs 293.94 per litre and HSD price is at Rs 290.38 per litre. The government has already attained permissible limit of Rs60 per litre petroleum levy under the law on both petrol and HSD. The International Monetary Fund had assured to collect Rs 920 billion PL against budgetary target of Rs 869 billion as PL on petroleum products during the current fiscal year 2024-25. In previous review of petroleum products, the government had increased the price of petrol by Rs9.66 per litre and reduced HSD by Rs3.32 per litre. On Monday, oil tankers owner association warned the management of Rawalpindi region to address their issues immediately otherwise they would suspend supply of fuel to airport, Rawalpindi, Islamabad, Kashmir and Gilgit Baltistan region. Oil Companies Advisory Committee also wrote a letter to the Special Investment Facility Council and warned that smuggling of petroleum products threatens $6 billion investment in refineries. The smuggling of oil products from Iran under government patronage should be stopped immediately, the OCAC stated. Iran’s smuggling of petroleum products is causing a huge financial loss of 35.6 million dollars or 10 billion rupees per month. On March 25, a letter was also written to the Secretary Petroleum on this issue, but there was no result. If the smuggling of petroleum products is not stopped, the plans for expansion and upgrading of refineries will become unworkable, OCAC says.","Petrol price hiked by Rs4.53, diesel’s by Rs8.14",288.49,281.96,0.0,0.05,0.1,0.65,0.2,0.0,0.05,0.2,0.5,0.25,0.0,0.0,0.25,0.6,0.15,0.0,0.0,0.12,0.35,0.53,-1.0,-0.8999999999999999,-1.41,-0.95
16,2024-04-01,https://epaper.brecorder.com/2024/04/01/1-page/989511-news.html,387.0,"The federal government ordered a significant raise in petrol price by up to Rs 9.66 per litre, effective from April 1, 2024, further adding financial burden on general public. The recent surge in petrol prices is attributed to an increase in premium from $12.15 per barrel to $13.507 per barrel, marking a $1.45 per barrel increment. The government passed on its full impact to general masses ahead of Eid-ul-Fitr, with the rate of petrol surpassing the high-speed diesel (HSD) price. The petrol price is raised from Rs279.75 to Rs289.41 per litre. There has been a decrease of Rs3.32 per litre in the price of HSD, as the premium on HSD stands at $6.50 per barrel as in the last two reviews of petroleum products. The new price of HSD has been fixed at 282.24 per litre which was Rs 285.56 per litre in previous fortnight. The Oil and Gas Regulatory Authority (Ogra) sent its recommendation of petroleum prices on March 31, 2024, and the federal government announced the price in light of these recommendations. Currently, the government imposes a petroleum levy (PL) of Rs60 per litre, around 21.5 percent of the current petrol price of Rs289.41 per litre. However, since February 2022, the federal government has maintained a zero GST rate on petroleum products. Sources in Petroleum Division revealed that government is considering introducing a carbon tax at import stage of petroleum products at Rs 30 per litre instead of imposing 18 percent GST on the petroleum products. The International Monetary Fund (IMF) has been asking the government to remove sales tax exemptions on all items, including petroleum products. An official from the Federal Board of Revenue (FBR); however, said that there are currently no proposals under consideration to impose sales tax on petroleum products. On Sunday, Finance Division stated that the price of Petrol (Motor Gasoline) has been increased in the international market during the last fortnight, while the price of HSD marginally declined. The government has accordingly decided to revise the existing consumer prices of petroleum products. It further stated that price adjustments are in line with government’s policy of passing on the variations of prices in the international market to the domestic market. The consumer price of HSD has accordingly been decreased once again, after a downward revision in the middle of March, 2024.","Petrol price hiked, diesel’s slashed ahead of Eid",293.94,290.38,0.0,0.1,0.2,0.5,0.2,0.0,0.05,0.1,0.6,0.25,0.05,0.2,0.5,0.2,0.05,0.0,0.1,0.2,0.55,0.15,-0.8,-2.775557561562892e-17,-0.7500000000000001,-1.05
17,2024-03-16,https://epaper.brecorder.com/2024/03/16/1-page/987909-news.html,164.0,"Federal government on Friday announced to keep the ex-depot price of petrol unchanged, and Rs 1.77 per litre reduction in high speed diesel (HSD) price for fortnight starting from March 16. In a late night fortnightly review of petroleum products, the government has decided to keep the ex-depot price of petrol at Rs 279.75 per litre, whereas, the price of HSD has reduced from Rs 287.33 to Rs 285.56 per litre. The petroleum levy (PL) rate on both petrol and HSD has been kept at Rs 60 per litre and no general sale tax (GST) on both petroleum products. The premium on petrol import has increased to $12.15 per barrel from $10.45 in February but exchange rate and global oil prices remained almost same at $81 per bbl. The premium on the import of HSD has remained unchanged at $6.50 per bbl. Finance Division stated the consumer price has been fixed for the fortnight on the recommendations of Oil and Gas Regulatory Authority (OGRA).","HSD’s price hiked by Rs1.77, petrol’s kept unchanged",289.41,282.24,0.0,0.1,0.6,0.2,0.1,0.0,0.25,0.65,0.05,0.05,0.0,0.1,0.6,0.3,0.0,0.05,0.45,0.5,0.0,0.0,-0.3,-0.1999999999999999,0.55,0.0999999999999999
18,2024-03-01,https://epaper.brecorder.com/2024/03/01/1-page/986552-news.html,228.0,"Interim government on Thursday announced up to Rs 4.13 per litre price hike in petroleum products for fortnightly starting from March 1, 2024 due to higher premium. In a late night statement, Finance Division announced to increase ex-depot petrol price by Rs 4.13 per litre, whereas, high speed diesel (HSD) price has been kept unchanged for the fortnight (March 1-15). The price of petrol has been fixed at Rs 279.75 from Rs 275.62 in last fortnightly review. The price of HSD has been kept unchanged at Rs 287.33 per litre. In a statement it has been said that the government implemented the recommendations of Oil and Gas Regulatory Authority (OGRA). Import premium on petrol is estimated at $10.48 per bbl which was recoded at $ 9.43 per bbl in previous fortnight ended on February 29, 2024, whereas the premium on HSD stays at $6.50 per bbl same as in previous review. The government is charging Rs 60 per litre Petroleum Levy at both HSD and petrol. In the first two months, geopolitical unrest in the Middle East and concerns about declining supplies helped to drive up the price of oil by almost 10 percent. The government increased fuel prices by Rs8.37 and Rs2.73 per litre for petrol and HSD, respectively, in the previous two weeks in response to a hike in the price of oil throughout the world.",Petrol price hiked by Rs4.13,279.75,285.56,0.0,0.05,0.1,0.6,0.25,0.0,0.05,0.1,0.5,0.35,0.0,0.0,0.7,0.25,0.05,0.0,0.0,0.65,0.3,0.05,-1.05,-0.35,-0.4,-1.15
19,2024-02-16,https://epaper.brecorder.com/2024/02/16/1-page/985283-news.html,324.0,"Interim government on Thursday decide to raise the ex-depot prices of petroleum products up to Rs 8.37 per litre for fortnight starting from February 16, 2024, owing to increase global oil prices and exchange rate adjustment. The price of petrol has been increase by Rs 2.73 per litre, while rate of high speed diesel (HSD) by Rs 8.37 per litre. In a late night announcement, Finance Division said:”Government has decided to bring changes in the current prices of Petroleum products for the fortnight starting from 16th February 2024, as recommended by Oil and Gas Regulatory Authority (OGRA)”. Following increase in the prices of petroleum products, the price of petrol has now been raised to Rs 275.62 from Rs 272.89 per litre. New rate of HSD is Rs 287.33 from Rs 278.96 per litre witnessed in previous fortnight. Although the general sales tax (GST) is zero on all petroleum products but the government is charging Rs60 per litre petroleum levy on both products. It also charges Rs50 per litre on high octane blending components and 95RON petrol, which are deregulated petroleum products. Globally, petrol price gone up around $1.20 per barrel to $89.9 from $88.7 per barrel in last fifteen days; whereas, HSD also increased around $3 per barrel to $101 from about $98 per bbl. Pak rupee gained by about 50 paisa against the dollar in last two week. The premium paid by PSO for securing product cargoes went down slightly for petrol from $9.5 to $9.45 per barrel. It remained unchanged for HSD at $6.5 per barrel. The government has already achieved the maximum permissible limit of petroleum levy on both petrol and HSD to meet budgetary target of Rs869billion during the current fiscal year under the commitments made with the International Monetary Fund (IMF). It has already attained 54 percent (Rs475billion) in the first half (July-December) of total PL target. The revised target has now been set at Rs920 billion by end-June.","Price of diesel hiked by Rs8.37, petrol’s by Rs2.73",279.75,287.33,0.0,0.05,0.2,0.5,0.25,0.0,0.05,0.1,0.45,0.4,0.0,0.0,0.75,0.2,0.05,0.0,0.0,0.8,0.19,0.01,-0.95,-0.3,-0.21,-1.2
