,date,petrol,hsd,petrol_change,diesel_change,word_count,openai_headline_overall_sentiment,gemini_headline_overall_sentiment,openai_text_overall_sentiment,gemini_text_overall_sentiment
29,2022-03-16,149.86,144.15,0.0,0.0,117.6,-0.04,0.266,0.008,1.113
30,2022-04-01,149.86,144.15,0.0,0.0,93.0,0.075,0.275,-0.213,0.762
31,2022-04-16,149.86,144.15,0.0,0.0,598.6,-0.77,-0.712,-0.512,-0.112
32,2022-05-01,149.86,144.15,0.0,0.0,185.4,0.146,0.437,0.146,1.17
33,2022-05-16,149.86,144.15,0.0,0.0,759.8,-0.24,0.034,-0.566,0.55
34,2022-05-27,179.86,174.15,30.0,30.0,786.2,-1.168,-1.014,-0.2,-0.01
35,2022-06-03,209.86,204.15,30.0,30.0,1186.75,-1.237,-1.175,-1.172,-1.0
36,2022-06-16,233.89,263.31,24.029999999999973,59.16,488.4,-0.982,-0.83,-0.996,-0.946
37,2022-07-01,248.74,276.54,14.850000000000023,13.230000000000018,492.4,-1.142,-1.06,-0.978,-1.006
38,2022-07-15,230.24,236.0,-18.5,-40.54000000000002,1341.5,-0.062,0.488,0.463,0.647
39,2022-08-01,227.19,244.95,-3.0500000000000114,8.949999999999989,339.8,-0.18,0.0,-0.552,-0.404
40,2022-08-16,233.91,244.44,6.719999999999999,-0.5099999999999909,338.4,-0.826,-0.296,-0.48,-0.704
41,2022-09-01,235.98,247.43,2.069999999999993,2.990000000000009,324.6,-1.168,-0.95,-0.808,-0.302
42,2022-09-21,237.43,247.43,1.450000000000017,0.0,109.75,-0.945,-0.65,-0.375,-0.162
43,2022-10-01,224.8,235.3,-12.629999999999995,-12.129999999999995,644.8,0.186,0.68,0.702,1.3
44,2022-10-16,224.8,235.3,0.0,0.0,405.0,-0.46,-0.412,-0.35,-0.16
45,2022-11-01,224.8,235.3,0.0,0.0,637.4,0.01,0.462,-0.12,0.57
46,2022-11-16,224.8,235.3,0.0,0.0,142.0,-0.19,0.132,0.046,0.492
47,2022-12-01,224.8,235.3,0.0,0.0,224.75,-0.25,0.56,0.025,0.1
48,2022-12-16,214.8,227.8,-10.0,-7.5,236.6,0.4,0.88,0.82,0.94
49,2023-01-01,214.8,227.8,0.0,0.0,210.0,-0.23,0.31,-0.29,0.874
50,2023-01-16,214.8,227.8,0.0,0.0,209.6,-0.25,0.038,-0.23,-0.054
51,2023-01-30,249.8,262.8,35.0,35.0,1207.6,-1.092,-1.25,-1.138,-1.184
52,2023-02-16,272.0,280.0,22.19999999999999,17.19999999999999,1880.75,-1.058,-1.462,-0.99,-1.005
53,2023-03-01,267.0,280.0,-5.0,0.0,202.0,-0.558,0.448,0.358,0.557
54,2023-03-16,272.0,293.0,5.0,13.0,380.4,-0.862,-0.64,-0.846,-0.452
55,2023-04-01,272.0,293.0,0.0,0.0,285.8,-0.36,-0.122,0.196,0.264
56,2023-04-16,282.0,293.0,10.0,0.0,109.0,-1.14,-0.775,-1.147,-0.573
57,2023-05-01,282.0,288.0,0.0,-5.0,163.0,-0.04,0.78,0.5,0.758
58,2023-05-16,270.0,258.0,-12.0,-30.0,181.25,0.37,1.0,0.792,1.4
59,2023-06-01,262.0,253.0,-8.0,-5.0,615.0,-0.05,1.267,0.657,1.225
60,2023-06-16,262.0,253.0,0.0,0.0,174.4,-0.22,-0.076,-0.44,0.645
61,2023-07-02,262.0,260.5,0.0,7.5,710.0,-1.018,-0.575,-0.542,-0.607
62,2023-07-16,253.0,253.5,-9.0,-7.0,230.25,0.435,0.771,0.675,0.925
63,2023-08-02,272.95,273.4,19.94999999999999,19.899999999999977,612.4,-0.868,-0.858,-1.06,-1.042
64,2023-08-16,290.45,293.4,17.5,20.0,286.0,-1.218,-1.34,-1.236,-1.46
65,2023-09-01,305.36,311.84,14.910000000000025,18.439999999999998,750.5,-1.145,-1.288,-1.275,-1.45
66,2023-09-16,331.38,329.18,26.019999999999982,17.340000000000032,152.75,-1.21,-1.4,-1.26,-1.087
67,2023-10-01,323.38,318.18,-8.0,-11.0,164.5,-0.123,0.91,0.405,0.2
68,2023-10-16,283.38,303.18,-40.0,-15.0,332.6,0.562,1.218,0.5,0.96
69,2023-11-01,283.38,303.18,0.0,0.0,138.0,0.0,0.383,0.22,0.522
70,2023-11-16,281.34,296.71,-2.0400000000000205,-6.470000000000027,129.75,0.112,0.3,0.785,0.625
71,2023-12-01,281.34,289.71,0.0,-7.0,175.0,0.18,0.554,0.23,0.484
72,2023-12-16,267.34,276.21,-14.0,-13.5,171.2,0.708,1.042,0.854,0.97
73,2024-01-01,267.34,276.21,0.0,0.0,130.0,0.163,0.512,-0.263,0.095
74,2024-01-16,259.34,276.21,-8.0,0.0,133.0,-0.06,0.69,0.618,0.404
75,2024-02-01,272.89,278.96,13.550000000000011,2.75,260.5,-1.257,-1.333,-1.215,-1.298
76,2024-02-16,275.62,287.33,2.730000000000018,8.370000000000005,107.25,-1.145,-0.917,-1.052,-0.253
77,2024-03-01,279.75,287.33,4.1299999999999955,0.0,96.2,-1.044,-1.19,-0.826,-0.372
78,2024-03-16,279.75,285.56,0.0,-1.7699999999999818,82.0,0.1,0.674,-0.13,0.29
79,2024-04-01,289.41,282.24,9.660000000000025,-3.319999999999993,276.2,-0.476,-0.134,-0.334,-0.474
80,2024-04-16,293.94,290.38,4.529999999999973,8.139999999999986,216.6,-1.196,-1.13,-1.202,-0.492
81,2024-05-01,288.49,281.96,-5.449999999999989,-8.420000000000016,227.6,0.364,0.806,0.718,0.766
82,2024-05-16,273.1,274.08,-15.389999999999986,-7.8799999999999955,233.8,0.554,0.98,0.824,1.26
83,2024-06-01,268.36,270.22,-4.740000000000009,-3.859999999999957,413.6,-0.32,-0.05,0.37,0.032
84,2024-06-15,258.16,267.89,-10.199999999999989,-2.330000000000041,438.4,0.382,0.676,0.78,1.136
85,2024-07-01,265.61,277.45,7.449999999999989,9.560000000000002,774.4,-1.238,-0.98,-1.094,-0.726
86,2024-07-16,275.6,283.63,9.990000000000009,6.180000000000007,150.8,-1.282,-1.004,-1.166,-0.622
87,2024-08-01,260.96,266.07,-14.640000000000043,-17.560000000000002,339.75,0.075,0.35,0.508,0.82
88,2024-08-14,259.1,262.75,-1.8599999999999568,-3.319999999999993,143.75,0.407,0.833,0.79,1.2
89,2024-09-01,249.1,249.69,-10.000000000000028,-13.060000000000002,181.75,0.445,0.867,0.705,0.893
90,2024-09-16,247.03,246.29,-2.069999999999993,-3.4000000000000057,164.0,0.383,1.062,0.757,1.263
91,2024-10-01,247.03,251.29,0.0,5.0,294.0,0.66,1.017,0.803,1.067
92,2024-10-16,248.38,255.14,1.3499999999999943,3.8499999999999943,90.5,-1.03,-0.6,-0.225,-0.145
93,2024-11-01,248.38,255.14,0.0,0.0,190.333,-0.75,-0.607,-0.383,-0.283
94,2024-11-16,248.38,255.14,0.0,0.0,109.75,-0.513,-0.082,-0.142,0.023
95,2024-12-01,252.1,258.43,3.719999999999999,3.2900000000000205,140.0,-1.033,-0.838,-0.685,-0.652
96,2024-12-16,252.1,255.38,0.0,-3.0500000000000114,173.5,0.4,0.7,0.412,0.463
